Abbreviation,Full-Form,Type,Pronunciation
INTA,Instituto Nacional de Tecnologia Agropecuaria (Argentina),initialism,
INTELSAT,International Telecommunications Satellite (organization),acronym,INTEL SAT
INTRISCA,Integrated Resource Inventory for South-Central Alaska,acronym,
INUPAL,Informaciones Unidas para America Latina (Chile),initialism,INU PAL
IO,Input/output; Interior orientation,initialism,
IOC,Intergovernmental Oceanographic Commission; Initial operational capability,initialism,
ION,Institute of Navigation,acronym,
IOP,International Organisation of Palaeobotany; Interagency Operating Picture (USGS),initialism,
IOS,Institute of Oceanographic Science (Great Britain),initialism,
IP,Internet protocol; Image point,initialism,
IPA,Imagery Product Archive (USDMA),initialism,
IPAM,Instituto de Pesquisa Ambiental da Amazonia,initialism,I PAM
IPCS,Image Production Control System,initialism,
IPE,Image processing engine,initialism,
IPF,Image Processing Facility (GSFC),initialism,
IPGP,Institut de Physique du Globe de Paris,initialism,
IPLSA,Illinois Professional Land Surveyors Assn.,initialism,
IPOSTEL,Instituto Postal Telegrafico (Venezuela),initialism,I POSTEL 
IPP,Integrated Plotting Package,initialism,
IPRG,Inst. for Petroleum Resources and Geophysics (Israel),initialism,
IPS,Image processing system; Inertial Positioning System,initialism,
IPT,"Informatica per il Territorio; Instituto de Pesquisas Tecnologicas (Sao Paulo, Brazil); Integrated Product Team",initialism,
IPX,Internet Packet Exchange,initialism,
IPY,International Polar Year,initialism,
IR,Imaging Radiometer; Infrared,initialism,
IR. CH.,Iron chimney,initialism,IR CHA
IR. CH.S.A.,Iron chimney with spark arrestor,initialism,IR CH S A 
IRAT,Institut de Recherches en Agronomie Tropicale (France),initialism,I RAT
IRC,Intergraph Registered Consultant,initialism,
IRD,Information Resources Division (Arizona),initialism,
IRDB,Integrated regional database,initialism,
IRDS,Information Resource Dictionary System,initialism,
IRF,Internal Raster File; Internal Raster Format,initialism,
IRG,Inter-Record Gap,initialism,
IRICC,Interagency Resource Information Coordination Council,initialism,
IRIS,Infrared Interferometer/Spectrometer; Interim Research and Intelligence Service (U.S. Dept. of State); Incorporated Research Institutions for Seismology,acronym,
IRIS R&A,"Research and Analysis Branch, Interim Research and                 Intelligence Service (U.S. Dept. of State)",initialism,IRIS R & R
IRLSA,Illinois Registered Land Surveyors Assn.,initialism,
IRRI,International Rice Research Inst.,initialism,
IRS,Internal Revenue Service (U.S.); Information retrieval system; Indian Remote Sensing (Satellite),initialism,
IRSA,Inst. of Remote Sensing Applications,initialism,
IRWA,International Right of Way Assn.,initialism,
IRWD,Irvine Ranch Water District,initialism,
IS,International Standard,initialism,
IS&T,Information Systems and Technology,initialism,IS & T
ISA,Institute of Surveyors of Australia; Internet Starter Applications; Integrated Survey Area (British Columbia),initialism,
ISABU,Institut des Sciences Agronomiques au Burundi,initialism,I SABU
ISAMS,Improved Stratospheric and Mesospheric Sounder,initialism,
ISAPI,Internet Server Application Programming Interface,initialism,
ISBD(CM),International Standard Bibliographic Description for                 Cartographic Materials,initialism,ISBD (CM)
ISBD(ER),International Standard Bibliographic Description for Electronic Resources,initialism,iSBD (ER)
ISC,Information Systems Council,initialism,
ISCCP,International Satellite Cloud Climatology Project,initialism,
ISCEM,International Society of Curators of Early Maps,initialism,IS CEM
ISD,Information Services Div.,initialism,
ISDN,Integrated Services Digital Network,initialism,
ISEA,Icosahedral Snyder equal area (projection),initialism,
ISERT,Institut Superieur pour les Etudes et Recherches Scientifique et Techniques (Djibouti),initialism,I SERT
ISGS,Illinois State Geological Survey,initialism,
ISHM,International Society for the History of the Map,initialism,
ISI,"Image Subsystem Interface; Information Systems Inventory (EPA); Interpretation System, Inc.",initialism,
ISL,Island; Illinois State Library,initialism,
ISLP,Land-tied island,initialism,
ISLS,Islands,initialism,
ISM,Interpretive Structural Modeling,initialism,
ISMS,International Society for Mine Surveying,initialism,
ISO,Imaging Spectrometer Observatory; International Standards Organization,initialism,
ISP,Internet service provider,initialism,
ISPI,Intermediate-scale Product Inventory,initialism,
ISPLS,Indiana Society of Professional Land Surveyors,initialism,
ISPRS,International Society for Photogrammetry and Remote Sensing,initialism,
ISR,Information Storage and Retrieval,initialism,
ISRO,Indian Space Research Organisation,initialism,ISRO
ISTAT,Istituto Centrale di Statistica (Italy),initialism,I STAT
ISTD,Inter-Services Topographical Dept. (Great Britain),initialism,
ISTH,Isthmus,initialism,
ISU,International System of Units,initialism,
ISURL,Indiana State Univ. Remote Sensing Laboratory,initialism,
IT,Information technology; Integration Technologies Inc.,initialism,
ITA,Intelligent Traverse Adjustment,initialism,
ITAA,Information Technology Assn. of America,initialism,
ITC,International Inst. for Aerospace Survey and Earth Sciences (Netherlands; formerly International Training Centre for Aerial Survey); International Trade Commission,initialism,
ITCA,International Topographic Composition Assn.,initialism,
ITD,Interim Terrain Data,initialism,
ITE,Institute of Terrestrial Ecology (Great Britain),initialism,
ITF,INTERLIS Transfer Format,initialism,
ITFE,Inductive terrain feature extraction,initialism,
ITRF,International Terrestrial Reference Frame,initialism,
ITRF00,International Terrestrial Reference Frame of 2000,initialism,ITRF 00
ITRM,"Information Technology Resouces Management (standard,             Virginia)",initialism,
ITRS,International Terrestrial Reference System,initialism,
ITS,Intelligent transportation system,initialism,
ITSA,"Independent Travel Stores Assn.; Ingeneria y Topografia, S.A. de C.V.",initialism,
ITU,Image Transfer Unit; International Telecommunications Union,initialism,
IUE,International Ultraviolet Explorer,initialism,
IUGG,International Union of Geodesy and Geophysics,initialism,
IUGS,International Union of Geological Sciences,initialism,
IUSM,International Union for Surveying and Mapping,initialism,
IVHS,Intelligent Vehicle Highway Systems,initialism,
IW,Information Warfare,initialism,
IWARDS,Iowa Water Resources Data System,initialism,I WARDS
IWIS,International Water Information System,initialism,
IWPC,Inst. of Water Pollution Control,initialism,
IWRA,International Water Resources Assn.,initialism,
IfAG,Institut fur Angewandte Geodasie,initialism,
Ill.,Illinois,initialism,
InSAR,Interferometric Synthetic Aperture Radar,initialism,IN SAR
Ind.,Indiana,initialism,
Inst.,Institute,initialism,
InterPARES,International Research on Permanent Authentic Records Electronic Systems,initialism,INTER PARES
Is.,Island,initialism,
Isl.,Island,initialism,
J&K,Jammu and Kashmir,initialism,J & K
J.C.,Johannes Condet (engraver),initialism,J.C.
J.G.S.,John Gaspar Scheuchzer,initialism,J.G.S.
J.H.,Jagerhaus = hunting lodge,initialism,J.H.
J.W.,John Webber,initialism,J.W.
JACIE,"Joint Agency Commercial Imagery Evaluation (Committee, USA)",acronym,JACIE
JAGIS,Journalism and GIS Interest Group,acronym,JAGIS
JALBTCX,Joint Airborne LiDAR Bathymetry Technical Center of Expertise,initialism,
JAMP,Joint Automated Mapping Project,acronym,
JATOP,Army Topographic Service (Indonesia),acronym,
JAXA,Japan Aerospace Exploration Agency,acronym,
JCCDS,Joint Committee on Cartographic Data Standardization (U.S.),initialism,
JCLS,"John Chance Land Surveys, Inc.",initialism,
JCP,Joint Committee on Printing (U.S. Congress),initialism,
JDSF,Jackson Demonstration State Forest (Calif.),initialism,
JEC,John E. Chance & Associates,initialism,
JECA,John E. Chance & Associates,initialism,
JERS,Japanese Earth Resources Satellite,acronym,
JFA,John Frank & Associates,initialism,
JFIF,JPEG File Interchange Format,initialism,
JICA,Japan International Cooperation Agency = Kokusai Kyoryoku Jigyodan,acronym,
JIGI,Java Interface for Geospatial Information,acronym,
JISC,Joint Information Systems Committee,acronym,
JMC,Japan Map Center,initialism,
JMPC,Joint Mapping and Photography Committee (U.S.),initialism,
JMT,"Johnson, Mirmiran and Thompson (Firm)",initialism,
JMTK,Joint Mapping Tool Kit,initialism,
JNC,Jet Navigation Chart,initialism,
JNGC,Jordan National Geographic Centre,initialism,
JOG,Joint operations graphic,initialism,
JOG-A,Joint operations graphic--air,initialism,JOG - A
JOG-G,Joint operations graphic--ground,initialism,JOG - G
JOG-R,Joint operations graphic--radar,initialism,JOG - R
JOIDES,Joint Oceanographic Institutions' Deep Earth Sampling,acronym,
JOMAR,Joint Office for Mapping and Research (USGS-NOAA),initialism,
JP2,JPEG2000,initialism,JP 2 
JPEG,Joint Photographic Experts Group,initialism,J PEG
JPL,Jet Propulsion Laboratory (U.S.),initialism,
JPS,"Javad Positioning Systems, Inc.",initialism,
JRI,Jordregisterinstituttet (Norway),initialism,
JSC,Johnson Space Center,initialism,
JSD,Jamaica Survey Dept.,initialism,
JTIDS,Joint Tactical Information Distribution System,initialism,J TIDS
JTU,Jabatan Tanah dan Ukur,initialism,
JWPCF,Journal of the Water Pollution Control Federation,initialism,
JWS,"James W. Sewall Company, Inc.",initialism,
JoM,Journal of Maps,initialism,JoM
Jr HS,Junior high school,initialism,JR HS
K,"1,000; Kilo",initialism,
K&E,Keuffel & Esser,initialism,K & E
K+F,Kummerly + Frey AG,initialism,K+F
K-L,Karhunen-Loeve (transform),initialism,K-L
KAM,Kansas Assn. of Mappers,acronym,KAM
KANDIDATS,Univ. of Kansas Landsat Software System,acronym,
KAPS,Kentucky Assn. of Land Surveyors,acronym,
KAR,Kinematic ambiguity resolution,acronym,
KARS,Kansas Applied Remote Sensing (program),acronym,
KB,Kilobyte,initialism,
KBPS,Kilobytes per second,initialism,
KCWA,Kern County Water Agency (Calif.),initialism,
KDD,Knowledge discovery in databases,initialism,
KDI,Knowledge and Distributed Intelligence,initialism,
KDMS,Kork Digital Mapping System,initialism,
KDSP,Kork Digital Stereo Plotter,initialism,
KGPS,Kinematic GPS,initialism,
KGS,Kansas Geological Survey; Kentucky Geological Survey,initialism,
KHz.,Kilohertz,initialism,KHz
KIER,Korean Inst. of Energy and Resources,acronym,
KINDS,Knowledge Interfaces to National Data Sets,acronym,
KKH,Karakoram Highway,initialism,
KL,Karhunen-Loeve (transform),initialism,
KLSD,Kiribati Land and Survey Div.,initialism,
KM,Kansas Mapper,initialism,
KN,Kartographische Nachrichten (journal),initialism,
KNP,Kruger National Park,initialism,
KNRIS,Kentucky Natural Resources Information System,initialism,KN RIS
KREMU,Kenya Rangeland Ecological Monitoring Unit,acronym,
KRG,Kurdistan Regional Government,initialism,
KRIS,Kentucky Resources Information System,acronym,
KSC,Kennedy Space Center (US),initialism,
KSNM,Thousands (K) of square nautical miles,initialism,
KU,Univ. of Kansas,initialism,
KW,Kilowatt,initialism,
KWIC,Key Word in Context,initialism,
KWOC,Key Word Out of Context,initialism,
KY,Kentucky,initialism,
Kan.,Kansas,initialism,Kan.
Kfz.,Kraftfahrzeug,initialism,Kfz.
Kil.,Kilometer,initialism,Kil.
Kl.,Klasse,initialism,Kl.
Klbf,Kleinbahnhof,initialism,Klbf
Kleinb,Kleinbahn = Narrow-guage railroad,initialism,Kleinb
Kleinbf,Kleinbahnhof,initialism,Kleinbf
Kls.,Kloster = cloister,initialism,Kls.
Ky.,Kentucky,initialism,Ky.
L&O,Limnology & Oceanography (journal),initialism,L & O
L.A.,Los Angeles (Calif.),initialism,L.A.
L/C,Land cover,initialism,L/C
L/S,Landsat,initialism,L/S
L/U,Land use,initialism,L/U
LA,Land access; Louisiana,initialism,
LAAS,Local Area Augmentation System,acronym,
LAC,Libraries and Archives Canada = Bibliotheque et Archives du Canada; Litografia Artistica Cartografica; Local Area Composite,acronym,
LACIE,Large Area Crop Inventory Experiment,acronym,
LADAR,Laser Detection and Ranging,acronym,
LAGEO,Laser Geodynamic Satellite,acronym,
LAGIC,Louisiana Geographic Information Center,acronym,
LAMP,Low Altitude Mapping Photogrammetry,acronym,
LAMPS,Laser-scan Automated Map Production System,acronym,
LAMS,Large Area Mosaicing Software,acronym,
LAN,Local area network,acronym,
LAND,Landmark feature identification number,acronym,
LANDRU,Local Access to Networked Data Retrieval Utility (Univ. of Calgary),acronym,
LANDSAT,Land Satellite,acronym,LAND SAT
LAP,Landsat Applications Program (PNW),acronym,
LARIS,Louisiana Areal Resource Information System,acronym,
LARS,Laboratory for Applications of Remote Sensing (Purdue Univ.),acronym,
LARSYS,Laboratory of Applications of Remote Sensing Image Data Processing System (Purdue Univ.),acronym,
LAS,Land Analysis System,acronym,
LASN,Local Area Spatial Network,initialism,LAS N 
LASS,Land Applications Satellite System (ESA),acronym,
LAT,Large Area Triangulation,acronym,
LAU,Landesamt fur Umweltschutz (Saarland),initialism,
LBA,Large-scale Biosphere-Atmosphere Experiment in Amazonia,initialism,
LBR,Laser Beam Recorder,initialism,
LBS,Location-based services,initialism,
LC,Library of Congress (U.S.); Land cover,initialism,
LCA,Land cover analysis,initialism,
LCC,Lambert conformal conic (projection),initialism,
LCD,Liquid-crystal displays,initialism,
LCDB,Land Cover Database,initialism,
LCDC,Land Conservation and Development,initialism,
LCGMD,Library of Congress Geography and Map Div. (U.S.),initialism,
LCGTF,Library of Congress Genre/Forms Terms for Library and Archival Materials,initialism,
LCMMP,California Land Cover Mapping & Monitoring Program,initialism,
LCS,Liberian Cartographic Service,initialism,
LCTY,Locality,initialism,
LDAS,Land Data Assimilation System (NASA),initialism,
LDD,Land Development Desktop 2i,initialism,
LDLS,"Lesotho Dept. of Lands, Surveys and Physical Planning",initialism,
LDMG,Lesotho Dept. of Mines and Geology,initialism,
LDNG,Landing,initialism,
LDO,Land Development Office (NovaLIS Technologies),initialism,
LDPC,Local Datum Plane Coordinate,initialism,
LDSI,LandDesign Surveying Inc.,initialism,
LE,Less than or equal,initialism,
LEAF,Land Ecosystem Atmosphere Feedback,acronym,
LEC,Lockheed Electronics Company,acronym,
LEM,Landform Elevation Model; Lunar Escape Module,acronym,
LEO,Low Earth orbit,acronym,
LEP,Linear Error Probable,initialism,
LES,Lincoln Electric System,initialism,
LF,Large format; Line feed,initialism,
LFC,Large format camera,initialism,
LFI,Schweizerisches Landesforstinventar,initialism,
LFVZ,Leichtensteinische Fremdenverkehrszentrale,initialism,
LGIS,Land Geographic Information System,initialism,L GIS
LGISC,Louisiana Geographic Information Systems Council,initialism,
LGN,Lagoon,initialism,
LGS,Liberian Geological Survey; Louisiana Geological Survey,initialism,
LGSOWOG,Landsat Ground Station Operations Working Group,initialism,
LI,Landmaelingar Islands,initialism,
LIA,Land Information and Analysis office (USGS),initialism,
LIBER- Gdc,"Ligue des Biblioth`eques Europeennes de Recherche, Groupe des cartothecaires",initialism,LIBER - Gdc
LIC,Land Information Centre,initialism,
LICGF,Land Information & Computer Graphics Facility (Univ. of Wisconsin-Madison),initialism,
"LIDAR, Lidar",Light Detection and Ranging,acronym,"LIDAR, Lidar"
LIGO,Laser Interferometer Gravitational-Wave Observatory,acronym,
LIM,Land identification method; Land Inventory and Management Program (USSCS),acronym,
LIMA,Landsat Image Mosaic of Antarctica,acronym,
LIMAP,Landsat Imagery Analysis Package (S.Dakota),acronym,
LIMO,"Land Information Management Office (Miami County, Kans.)",acronym,
LIMS,Location Management System,acronym,
LINZ,Land Information New Zealand,acronym,
LIO,Land Information Ontario,acronym,
LIS,Land information system(s); Landsat Information System; Library and information science; Lightening Imaging Sensor,acronym,
LISCOM,Land Information Systems Committee (So. Australia),acronym,
LIT,Land Information Toronto,acronym,
LK,Lake,initialism,
LKB,"Lockwood, Kessler & Bartlett Inc.",initialism,
LKC,Crater lake,initialism,
LKI,Intermittent lake,initialism,
LKS,Lakes,initialism,
LKSC,Crater lakes,initialism,
LL,Line-by-line,initialism,
LLA,Adjusted line length,initialism,
LLC,Line length code,initialism,
LLV,Low Light Visibility,initialism,
LMCTF,Land Managers Cooperative Task Force (Alaska),initialism,
LMIC,Land Management Information Center,initialism,
LMP,Land Management Planning,initialism,
LMS,Large-scale mapping system,initialism,
LMV,Statens Lantmateriverket (Sweden),initialism,
LO,Located object,initialism,
LOC,Library of Congress; Landsat Oversight Committee (Colorado),initialism,
LOD,Levels of detail,initialism,
LOGIC,Loveland Geographic Information/Cartographic System,acronym,
LOMA,Letters of map amendment,acronym,
LOMC,Letters of map correction,initialism,
LOMR,Letters of map revision,initialism,
LORAN,Long Range Navigation (system),acronym,
LOS,Land Observation Satellite (Japan); Line-of-sight,initialism,
LP,Line printer,initialism,
LPGS,Landsat Product Generation System; Level 1 Product General System,initialism,
LPI,Lines per inch; Lunar and Planetary Institute,initialism,
LPM,Load point marker,initialism,
LPS,Library Programs Service (USGPO); Local positioning systems,initialism,
LQ,Letter quality,initialism,
LR,Laser Retroflector,initialism,
LRD,Low resolution data,initialism,
LRDA,Land Resources Data Analysis,initialism,
LRDB,Low Resolution Data Base,initialism,
LRDC,Land Resources Development Centre,initialism,
LRIDP,Land Resources Inventory Demonstration Project (PNW),initialism,
LRIS,Land Registration and Information Service (Maritime Provinces); Land Resource Information System (S. Dakota and N. Carolina),initialism,
LRITF,Land Resources Inventory Task Force,initialism,
LRM,Linear Referencing Method,initialism,
LRR,Laser Retro-reflector,initialism,
LRS,Linear Referencing System,initialism,
LRU,Line Replaceable Unit; Line Replacement Unit,initialism,L RUD
LRUD,"Left, right, up, down",initialism,
LSACTS,Land Surveyors Advisory Council on Technical Standards (California),initialism,L SACTS
LSAW,Land Surveyors' Assn. of Washington,initialism,L SAW
LSD,Land Surface Datum; Lands and Survey Div. (Trinidad and Tobago),initialism,
LSDP,Landsat Signature Development Program (software),initialism,
LSI,LiDAR Services International,initialism,
LSIT,Land surveyor in training,initialism,
LSM,Land Surface Models (NASA),initialism,
LSN,Linear scaling number,initialism,
LSO,Land Surveyors Online,initialism,
LSPS,Louisiana Society of Professional Surveyors,initialism,
LSR,Local Space Rectangular,initialism,
LSRC,Louisiana Spatial Reference Center,initialism,
LSRP,Laser Printer,initialism,
LST,Local Standard Time,initialism,
LT,Less than; Local Time; Linear triangulation,initialism,
LTAP,Long-Term Acquisition Plan (USGS),initialism,L TAP
LTC,Light transfer characteristics,initialism,
LTE,Less than or equal,initialism,
LTER,Long Term Ecological Research project,initialism,
LTO,Land Title Office (New Zealand),initialism,
LTTM,Longterm Terrain Model,initialism,
LTU,Line Transfer Unit,initialism,
LU,Land units,initialism,
LU/LC (or LULC),"Land use, land cover",initialism,LU / LC 
LUCCAS,Land Use and Cover Change Analysis System (Pacific Meridian Resources),acronym,
LUDA,Land Use and Data Analysis (program); Land use development assistance,acronym,
LUM,"Limited update, monoscopic",acronym,
LUMIS,Land Use Management Information System (JPL software),acronym,
LUMS,Land Use Management System,acronym,
LUNHA,Land Use History of North America (USGS),acronym,
LUNR,Land Use and Natural Resource Information System (N.Y.),acronym,
LUPIN,Land Use Planning Information Network (CERES),acronym,
LUS,"Limited update, stereo",acronym,
LUST,Leaking underground storage tank,acronym,
LUT,Land utilization type,acronym,
LVAB-W,Landesvermessungsamt Baden-Wurttemberg,initialism,LVAB - W
LVAN-W,Landesvermessungsamt Nordrhein-Westfalen,initialism,LVAN - W
LVAR-P,Landesvermessungsamt Rheinland-Pfalz,initialism,LVAR - P 
LVAS,Landesvermessungsamt des Saarlandes,initialism,L VAS
LVAS-H,Landesvermessungsamt Schleswig-Holstein,initialism,LVAS - H
LVVWD,Las Vegas Valley Water District,initialism,
LWC,Louisville Water Company,initialism,
LWD,Littoral Warfare Data,initialism,
La.,Louisiana,initialism,
LaRC,Langley Research Center (NASA),initialism,
Lat.,Latitude,initialism,
Lg.,Lange,initialism,L . G
Lieut.,Lieutenant,acronym,
Lith.,Lithographed; lithographer,acronym,
Lon.,Longitude,acronym,
Long.,Longitude,acronym,
Lst,Ladestelle,initialism,
Lt.,Lieutenant,initialism,
M,"Maestrale, Magistrale, Meridionalis, Meridialis, Mezzodi = South",initialism,
M.,"Mile; mille (1,000); Mitte",initialism,
M.A.P.S.,Microcomputer-based Automated Projection System,acronym,
M.D.M.,Mount Diablo Meridian,initialism,M D M 
M.E.,Military Engineer; Mining Engineer,initialism,M . E
M.H.,Meierhof = dairy farm,initialism,M . H
M.O.P.,Ministerio de Obras Publicas,initialism,M .O . P
M.W.,Mittelwasser,initialism,M.W
MA,Mean annual; Maritime Administration; Massachusetts; Manitoba,initialism,
MAC,Machine automation control; Mapping Applications Center (USGS); Mineralogical Assn. of Canada; Mapping Advisory Committee; Mobile Arctic caisson,acronym,
MACA,Ministerio de Asuntos Campesinos y Agropecuarios (Bolivia),acronym,
MAD,Management Areas Database; Metro Area Disaster GIS (Oregon),acronym,
MADAR,Maps and Data at Ryerson [University},acronym,
MADGIC,"Maps, Data and Government Information Centre (Trent University); Maps, Academic Data, Geographic Information Centre (Univ. of Calgary)",acronym,
MADM,Multiple attributes decision-making,initialism,MAD M 
MAF,Master address file,acronym,
MAFF,"Ministry of Agriculture, Fisheries and Food (U.K.)",acronym,
MAFI,Magyar Allami Foldtani Intezet = Hungarian Geological Inst.,acronym,
MAG,"Ministerio de Agricultura y Ganaderia (Costa Rica, Ecuador)",acronym,
MAGE,Map Authoring and Generalisation Expert,acronym,
MAGERT,Map and Geography Round Table (ALA),acronym,
MAGI,Maryland Automated Geographic Information System,acronym,
MAGIC,Map and Geographic Information Center (Univ. of Conn. and Univ. of New Mexico); Map and Geospatial Information Collection (Dalhousie University Library),acronym,
MAGIS,"Maps, Aerials and GIS (Univ. of Hawaii Library, Manoa)",acronym,
MAGSAT,Magnetic Field Satellite (U.S.),acronym,MAG SAT
MAIGIS,Multi-Agency Internet Geographic Information Service,acronym,
MALSCE,Massachusetts Assn. of Land Surveyors and Civil Engineers,initialism,MAL SCE
MAP,"Map Analysis Package; Mapping Alliance Program (Space Imaging, Inc.); Market Area Planner (Huff)",acronym,
MAPA,"Ministerio de Agricultura, Pesca y Alimentacion (Spain)",acronym,
MAPCAT,Map catalog,acronym,
MAPDS,"Ministerio de Agricultura y Pesca, Direccion de Suelos (Uruguay)",initialism,MAP DS
MAPIS,Map Products Information System,acronym,
MAPPS,"Management Assn. for Private Photogrammetric Surveyors; Maps, Aerial Photo and Publication System",acronym,
MAPS,Mississippi Assn. of Professional Surveyors; Measurement of Air Pollution from Satellite,acronym,
MAPSAT,Mapping Satellite (U.S.),acronym,MAP SAT
MAR,Mean annual runoff,acronym,
MARAD,Maritime Administration (US),acronym,
MARC,"Machine Readable Cataloging (LC); Mid-America Remote Sensing Center (Murray State Univ., KY)",acronym,
MARIS,Mississippi Automated Resource Information System,acronym,
MARLS,Missouri Assn. of Registered Land Surveyors; Montana Assn. of Registered Land Surveyors,acronym,
MARS,Monitoring Agriculture with Remote Sensing (European Union),acronym,
MAS,Millimeterwave Atmospheric Sounder,acronym,
MASC,Map Activity Support Contract,initialism,MAS C
MASTER,MODIS/ASTER Airborn Simulator (NASA),acronym,
MAT,Medial-axis transformation,acronym,
MATLAB,Matrix Laboratory,acronym,
MAW,Metropolitan area window,acronym,
MB,Megabyte,initialism,
MBMG,Montana Bureau of Mines and Geology,initialism,
MBPS,Million bits per second,initialism,
MBR,Minimum bounding rectangle,initialism,
MC,Mapping Center,initialism,
MC&G,"Mapping, Charting & Geodesy (U.S. Dept. of Defense)",initialism,
MCAS,Marine Corps Air Station,initialism,
MCB,Marke Carl Bauer = Carl Bauer Brand,initialism,
MCD,Minor civil division; Major civil division,initialism,
MCDM,Multi-criteria decision-making,initialism,
MCE,Mapping and Charting Establishment (Canada),initialism,
MCG,Map Curators' Group,initialism,
MCGA,Monochrome/Color Graphics Adapter,initialism,
MCIS,Maps and Chart Information System,initialism,
MCMC,Mid-continent Mapping Center (USGS),initialism,
MCO,Mars Climate Orbiter,initialism,
MCS,Machine control system; Master Control Station,initialism,
MD,Maryland; Metadata,initialism,
MDA,"Monochrome Display Adapter; MacDonald, Dettwiler and Associates, Inc.",initialism,
MDAS,Multispectral Data Analysis System (Bendix Corp.),initialism,
MDC,Div. de la Cartographie (Morocco),initialism,
MDD,"Mineral Deposits Div., Geological Assn. of Canada",initialism,
MDG,Direction de la Geologie (Morroco),initialism,
MDGLS,Missouri Div. of Geology and Land Survey,initialism,
MDL,Measurement Devices Ltd.; MicroStation Development Language (Bentley Systems),initialism,
MDLPP,Mason-Dixon Line Preservation Partnership,initialism,
MDOT,Michigan Dept. of Transportation,initialism,M DOT
MDP,Master Data Processor,initialism,
MDR,Minimum Data Recorder,initialism,
MDS,Metadata standards; Multi-dimensional scaling,initialism,
MDSD,Mono-Digitizer Stereo-Digitizer,initialism,
MDSHS,Mount Diablo Surveyors Historical Society,initialism,
MDT,Mountain Daylight Time,initialism,
MDTC,Div. de la Topographie et de la Cartographie (Mauritania),initialism,
ME,Maine; Monoscopic Extraction,acronym,
MECM,Miss~ao de Estudos Cartograficos de Macao,initialism,
MEDEA,Measurements of Earth Data for Environmental Analysis (U.S.),acronym,
MEDS,Minimum essential data set,initialism,
MEGDR,Mission Experimental Gridded Data Record(s),initialism,
MEGRIN,Multipurpose European Ground Related Information Network,acronym,
MEI,Maps Etc. Inc.,initialism,
MEIS,Multispectral Electrooptical Imaging Sensor,initialism,
MEM,Ministry of Energy and Minerals (Tanzania),initialism,
MEMPR,"Ministry of Energy, Mines and Petroleum Resources (British Columbia)",initialism,
MENR,Ministry of Energy and Natural Resources (Trinidad and Tobago),initialism,
MEO,Medium Earth orbit,initialism,
MEOW,Mono-Extraction Orthophoto Workstation,initialism,
MER,Minist`ere de l'Energie et des Ressources (Quebec),initialism,
MERES,Mineral and Energy Resources Exploration Satellite (Japan),initialism,
MERIS,Medium Resolution Imaging Spectrometer,initialism,
MERRA,Michigan Energy and Resources Research Association,initialism,
MESSR,Multispectral Electronic Self-Scanning Radiometer,initialism,
METSAT,Meteorological Satellite,initialism,MET SAT
MEWS,Mono-Extraction Workstation,initialism,
MF,Miscellaneous Field Studies Map(USGS),initialism,
MFC,Map Feature Coding,initialism,
MFGDP,Manual of Federal Geographic Data Products,initialism,
MFLOPS,Million Floating Points Operations Per Second,initialism,
MFS,Maine Forest Service,initialism,
MGB,Mississippi Bureau of Geology,initialism,
MGE,Microstation GIS Environment (Intergraph); Modular GIS Environment,initialism,
MGG,Marine Geology and Geophysics Report,initialism,
MGIS,Micro Geographic Information System,initialism,
MGRS,Military Grid Reference System,initialism,
MGS,Maine Geological Survey; Maryland Geological Survey; Minnesota Geological Survey; Mars Global Surveyor (satellite),initialism,
MGSD,Michigan Geological Survey Div.,initialism,
MGSSSR,Ministerstvo Geologii SSSR,initialism,
MH,Ministry of Housing (Bahrain),initialism,
MHAPO,Minnesota Historical Aerial Photographs Online,initialism,
MHTD,Missouri Highway and Transportation Dept.,initialism,
MHW,Mean High Water,initialism,
MHz,Megahertz,initialism,
MI,Michigan; Military Intelligence; Miscellaneous Investigations (map),initialism,
MIAS,Multispectral Image Analysis System,acronym,
MIEM,Minist`ere de l'Industrie et de Mines (Malagasy Republic),initialism,
MIF,Main Image File; MapInfo Interchange Format,acronym,
MIL,"Map and Imagery Laboratory (Univ. of Calif., Santa Barbara); Milli-inch (1 thousandth of an in.)",acronym,
MILSTRIP,Military Standard Requisitioning and Issue Procedures (USDMA),acronym,
MILUS,Multiple Input Land Use System (JPL software),acronym,
MIME,MultiPurpose Internet Mail Extension,initialism,
MIO,Map Information Office,initialism,
MIPS,Map and Image Processing System; Million Instructions Per Second; Mini-Image Processing System,acronym,
MIRAGE,Map Image Rendering Database for Geoscience (NRCan),acronym,
MIS,Management Information System; Map Information System,acronym,
MISR,Multi-angle Imaging SpectroRadiometer (NASA); Macaulay Institute for Soil Research,initialism,
MITE,Megapixel Imaging Technology,acronym,
MITES,Miniature Interferometer Terminals for Earth Survey,acronym,
MJH,"M.J. Harden Associates, Inc.",initialism,
ML,Master Library,initialism,
MLA,Multi-linear array,initialism,
MLC,Minimal level cataloging (Library of Congress),initialism,
MLHD,Maximum likelihood (decision functions),initialism,
MLLW,Mean Lower Low Water,initialism,
MLMIC,Minnesota Land Management Information Center,initialism,
MLMIS,Minnesota Land Management Information System,initialism,ML MIS
MLRA,Major Land Resource Areas,initialism,
MLTA,Maine Land Title Assn.,initialism,
MLW,Mean low water,initialism,
MMKS,"Mjetve Mesimore Kulturore e Sportive ""Hamid Shijaku"" (Albania)",initialism,
